review_id,cluster_k2,Sentiment,region,dist_to_own_centroid,margin,n_words
bn_0176,0,1,A_organic,0.7775425,0.07029337,23
bn_0179,0,1,A_organic,0.8481807,0.029587269,13
bn_0181,0,1,A_organic,0.840595,0.03930497,13
bn_0183,0,1,A_organic,0.82818055,0.040714383,9
bn_0184,0,1,A_organic,0.76350975,0.0472638,5
bn_0186,0,1,A_organic,0.8395868,0.022994637,23
bn_0187,0,1,A_organic,0.7223877,0.14140809,27
bn_0188,0,1,A_organic,0.81570005,0.073455274,5
bn_0189,0,1,A_organic,0.7157664,0.1406461,16
bn_0190,0,1,A_organic,0.7523638,0.07795751,11
bn_0191,0,1,A_organic,0.81762964,0.051083684,13
bn_0192,0,1,A_organic,0.80860424,0.037725806,5
bn_0193,0,1,A_organic,0.80850416,0.064136386,12
bn_0194,0,1,A_organic,0.81168205,0.054846525,30
bn_0195,1,1,A_organic,0.8473171,0.0060991645,10
bn_0196,1,1,A_organic,0.8603865,0.016745925,4
bn_0197,0,1,A_organic,0.90430236,0.04314202,11
bn_0198,0,1,A_organic,0.90665084,0.010501027,25
bn_0199,1,1,A_organic,0.9462982,0.040320873,6
bn_0200,0,1,A_organic,0.8206146,0.085769534,10
bn_0201,0,1,A_organic,0.7764239,0.046654582,9
bn_0202,1,1,A_organic,0.9035309,0.06501371,12
bn_0203,1,1,A_organic,0.9528742,0.072624326,16
bn_0204,1,1,A_organic,0.8500019,0.060382426,7
bn_0205,0,1,A_organic,0.81070846,0.019519627,8
bn_0206,0,1,A_organic,0.7288205,0.08131099,11
bn_0207,1,1,A_organic,0.8283256,0.07006514,4
bn_0208,1,1,A_organic,0.85266477,0.052827477,13
bn_0209,0,1,A_organic,0.8583342,0.008079946,25
bn_0210,1,1,A_organic,0.8922413,0.0712623,5
bn_0211,0,1,A_organic,0.72900134,0.062353194,8
bn_0212,0,1,A_organic,0.8299775,0.042132974,10
bn_0213,0,1,A_organic,0.693347,0.056332648,3
bn_0214,0,1,A_organic,0.6898799,0.11976731,7
bn_0215,1,1,A_organic,0.9459633,0.0047830343,7
bn_0217,1,1,A_organic,0.88620806,0.073883,14
bn_0218,0,1,A_organic,0.7927904,0.03774774,4
bn_0219,0,1,A_organic,0.72242564,0.07832801,8
bn_0220,1,1,A_organic,0.81497043,0.01194787,7
bn_0221,0,1,A_organic,0.7416059,0.09372324,13
bn_0222,0,1,A_organic,0.7217742,0.13053018,5
bn_0223,0,1,A_organic,0.62837183,0.15717226,8
bn_0224,0,1,A_organic,0.8053249,0.059388757,8
bn_0225,0,1,A_organic,0.7492302,0.064641654,8
bn_0226,1,1,A_organic,0.7853213,0.0708558,4
bn_0227,1,1,A_organic,0.81768167,0.046315134,3
bn_0228,0,1,A_organic,0.8002129,0.058152437,6
bn_0229,0,1,A_organic,0.6745615,0.10836899,3
bn_0230,0,1,A_organic,0.67030877,0.12910795,6
bn_0231,1,1,A_organic,0.85838205,0.07509214,6
bn_0232,0,1,A_organic,0.72096276,0.12164992,8
bn_0233,1,1,A_organic,0.8330419,0.030110657,12
bn_0234,0,1,A_organic,0.71771234,0.102158904,6
bn_0235,0,1,A_organic,0.71738994,0.10159618,8
bn_0236,1,1,A_organic,0.8700617,0.07190919,6
bn_0237,1,1,A_organic,0.80419016,0.031359375,8
bn_0238,0,1,A_organic,0.69754696,0.100251615,14
bn_0239,0,1,A_organic,0.6652741,0.14907181,5
bn_0240,1,1,A_organic,0.8138313,0.029272974,10
bn_0241,0,1,A_organic,0.8472711,0.030824661,14
bn_0242,0,1,A_organic,0.8683116,0.03568858,11
bn_0243,0,1,A_organic,0.72682726,0.10787153,8
