review_id,cluster_k2,Sentiment,region,dist_to_own_centroid,margin,n_words
bn_2437,1,2,B_uniform,0.7006851,0.057809114,11
bn_2438,1,2,B_uniform,0.62365264,0.0682739,9
bn_2439,0,2,B_uniform,0.7231596,0.020673454,10
bn_2440,1,2,B_uniform,0.6332167,0.09032583,9
bn_2441,1,2,B_uniform,0.64960784,0.08750707,7
bn_2442,1,2,B_uniform,0.653622,0.019059539,9
bn_2443,1,2,B_uniform,0.74434423,0.041933835,12
bn_2444,1,2,B_uniform,0.69250464,0.061551273,9
bn_2445,1,2,B_uniform,0.7017738,0.022591889,8
bn_2446,1,2,B_uniform,0.6482941,0.059515357,5
bn_2447,1,2,B_uniform,0.68059653,0.09815019,7
bn_2448,1,2,B_uniform,0.79350245,0.07517564,8
bn_2449,1,2,B_uniform,0.6784864,0.06580973,10
bn_2450,1,2,B_uniform,0.7240942,0.083323896,9
bn_2451,1,2,B_uniform,0.65730846,0.0072642565,8
bn_2452,1,2,B_uniform,0.7100037,0.070400834,8
bn_2453,0,2,B_uniform,0.7228592,0.0070180297,7
bn_2454,1,2,B_uniform,0.6619612,0.026572883,8
bn_2455,1,2,B_uniform,0.6733503,0.076532364,8
bn_2456,1,2,B_uniform,0.71895754,0.053307056,10
bn_2457,1,2,B_uniform,0.6503052,0.082523465,10
bn_2458,1,2,B_uniform,0.7074394,0.07517445,7
bn_2459,1,2,B_uniform,0.65921736,0.07581991,9
bn_2460,1,2,B_uniform,0.64671934,0.0859437,7
bn_2461,1,2,B_uniform,0.65827,0.07579321,5
bn_2462,1,2,B_uniform,0.60926056,0.05834329,10
bn_2463,1,2,B_uniform,0.70369095,0.06811553,8
bn_2464,1,2,B_uniform,0.6164333,0.040140033,7
bn_2465,1,2,B_uniform,0.6370483,0.061731935,8
bn_2466,1,2,B_uniform,0.689328,0.053815603,7
bn_2467,1,2,B_uniform,0.6087227,0.009274721,10
bn_2468,0,2,B_uniform,0.68681514,0.0051010847,6
bn_2469,0,2,B_uniform,0.687392,0.052776337,7
bn_2470,1,2,B_uniform,0.67450917,0.07148653,9
bn_2471,1,2,B_uniform,0.63849735,0.10980111,8
bn_2472,1,2,B_uniform,0.6400162,0.06532353,7
