word,count_c0,count_c1,log_odds_delta,z
দেখলে,15,5,0.2709556729680882,0.5443358988879138
মনটা,7,2,0.4134540090507661,0.5374931513545225
গুলি,7,2,0.4134540090507661,0.5374931513545225
"না,",7,2,0.4134540090507661,0.5374931513545225
আনন্দ,7,2,0.4134540090507661,0.5374931513545225
প্রত্যেকটা,7,2,0.4134540090507661,0.5374931513545225
শেখার,7,2,0.4134540090507661,0.5374931513545225
নিয়ে,7,2,0.4134540090507661,0.5374931513545225
ইতিহাস,7,2,0.4134540090507661,0.5374931513545225
ছুঁয়ে,7,2,0.4134540090507661,0.5374931513545225
মিল,7,2,0.4134540090507661,0.5374931513545225
আছে।,7,2,0.4134540090507661,0.5374931513545225
যদিও,4,1,0.5357401394690608,0.5018639815016683
অশ্রু,4,1,0.5357401394690608,0.5018639815016683
পুরোটা,4,1,0.5357401394690608,0.5018639815016683
গেলাম,4,1,0.5357401394690608,0.5018639815016683
ততই,4,1,0.5357401394690608,0.5018639815016683
অজান্তেই,4,1,0.5357401394690608,0.5018639815016683
পাচ্ছি,4,1,0.5357401394690608,0.5018639815016683
মৌসুমি,4,1,0.5357401394690608,0.5018639815016683
পারবে,4,1,0.5357401394690608,0.5018639815016683
কখন,4,1,0.5357401394690608,0.5018639815016683
গানের,4,1,0.5357401394690608,0.5018639815016683
অনুভূতি,4,1,0.5357401394690608,0.5018639815016683
লাগবে,4,1,0.5357401394690608,0.5018639815016683
অনুরোধ,4,1,0.5357401394690608,0.5018639815016683
সারাজীবন,4,1,0.5357401394690608,0.5018639815016683
যাওয়া,4,1,0.5357401394690608,0.5018639815016683
বসে,4,1,0.5357401394690608,0.5018639815016683
ছোট্ট,4,1,0.5357401394690608,0.5018639815016683
শাস্তি,4,1,0.5357401394690608,0.5018639815016683
বাস্তবতার,4,1,0.5357401394690608,0.5018639815016683
হওয়া,4,1,0.5357401394690608,0.5018639815016683
ততোই,4,1,0.5357401394690608,0.5018639815016683
মাস্টওয়াচ,4,1,0.5357401394690608,0.5018639815016683
কেনো,4,1,0.5357401394690608,0.5018639815016683
ধারণা,4,1,0.5357401394690608,0.5018639815016683
গেছে।,4,1,0.5357401394690608,0.5018639815016683
রয়েছে,4,1,0.5357401394690608,0.5018639815016683
ছায়াছবি,4,1,0.5357401394690608,0.5018639815016683
পছন্দ,4,1,0.5357401394690608,0.5018639815016683
মিউজিক,4,1,0.5357401394690608,0.5018639815016683
চলছে,4,1,0.5357401394690608,0.5018639815016683
বাস্তবতা,4,1,0.5357401394690608,0.5018639815016683
জাতীয়,4,1,0.5357401394690608,0.5018639815016683
জগতে,4,1,0.5357401394690608,0.5018639815016683
ঘর,4,1,0.5357401394690608,0.5018639815016683
ধরা,4,1,0.5357401394690608,0.5018639815016683
রাত,4,1,0.5357401394690608,0.5018639815016683
জোসনা,4,1,0.5357401394690608,0.5018639815016683
আপু,4,1,0.5357401394690608,0.5018639815016683
ধরণের,4,1,0.5357401394690608,0.5018639815016683
নিজের,12,4,0.27090826679189295,0.4867836468427162
দেশের,12,4,0.27090826679189295,0.4867836468427162
অসম্ভব,12,4,0.27090826679189295,0.4867836468427162
বেশ,12,4,0.27090826679189295,0.4867836468427162
চলে,22,8,0.18993383433883082,0.47615527726374474
যায়,17,6,0.21774746039356696,0.4749761528326552
কিছু,65,26,0.1009223111188069,0.44913930759093706
সব,48,19,0.11065803437714106,0.42171197269341365
হয়েছে।,9,3,0.2708608773023631,0.42149326036463247
সারা,9,3,0.2708608773023631,0.42149326036463247
ভালোবাসা,9,3,0.2708608773023631,0.42149326036463247
গল্প,36,14,0.12719165129534904,0.4172891037899197
